Elemento	Color	Uso sugerido
🔲 Fondo principal	#0a0a0a	Fondo negro profundo
⚪ Texto primario	#f5f5f5	Texto principal blanco suave
⚫ Texto secundario	#cfcfcf	Descripciones, subtítulos
🟤 Dorado (principal)	#d4af37	Títulos, acento en links, íconos
🟠 Dorado oscuro	#b8860b	Hover, botones dorados, bordes
🟡 Dorado claro	#fceabb	Detalles brillantes, brillos
🔘 Gris suave	#2e2e2e	Bordes, fondos internos, hover sutil
🔘 Gris metálico	#555555	Líneas divisoras, íconos secundarios
🔲 Sombra dorada	rgba(197, 152, 5, 0.584)	
🔲 Sombra neutra	rgba(0, 0, 0, 0.6)	Sombra general de tarjetas o menús
